created_at,screen_name,text;;;;;;;;
"2019-03-01,iamannz,""It?s where Batik was made and there?s a lot to choose. Batik cloth and clothings for make and female and children?s dresses. A wallet  slippers made of Batik is also available. If you are hungry during your walks  there is Mc Donald?s KFC even coffee shops Starbucks JCO""";;;;;;;;
"2019-04-01,Nomi Adnyana,""Malioboro is the most famous street in Yogyakarta. Located in the heart of the city this is the main street and was once the ceremonial avenue for the Sultan to pass through on his way to and from the Keraton. Some say that the name Malioboro derives from the name of the""";;;;;;;;
"2019-04-01,Frank93413,""If you?re after the traditional experience with a lot of chooses of food this is the place to go. Street food""";;;;;;;;
"2019-02-01,Sandy W,""This isn't ordinary road you can find anything here: culture food people shopping centre history""";;;;;;;;
"2019-03-01,Aan Moonyoga,""Malioboro street as the central city of Jogja  there is the busy area and the central of tourists coming from Indonesia also abroad not complete for travellers when visiting Jogja without visiting Malioboro you Will see the real of Jogja in there more information contact""";;;;;;;;
"2019-03-01,David H,""At Malioboro Road Tonight.  Many people at here tonight.  Holiday Time at Central Yogyakarta City at Malioboro Road.   Good many batik in here.  Many purchase special Yogyakarta in here  Special food Yogya Gudeg many choice in Malioboro Road.""";;;;;;;;
"2018-12-01,Ulfah Hidayatullah Damamini,""Don?t miss it when visit to Jogja. Better in the low season make you comfort walking a while sightseeing and shopping ofcourse!""";;;;;;;;
"2019-02-01,dragongirlmomma,""Went there at about 6pm on a Saturday and the street was bustling. Hamzah Batik is a must to go for those who are looking to get some batik or Indonesian handicrafts without the hassle of haggling as the price are indicated and fixed. The atmosphere was vibrant with many street""";;;;;;;;
"2019-02-01,Stefna G,""Very crowded at the weekend and evenings best time seems to be Friday afternoon. The prices are so good that you dont need to bargain but it's ok to try. Lots of the same items on stalls.  Stores are also worth a look.""";" u r banks will be forcefully emptied according to coming financial crisis of rich countries. Where are those dictators with billions of looted dollars? Listen to 73yrs old Jiala. DonÉ??t be stupid.""";;;;;;;
"2019-01-01,DaveandApril,""The shopping mall is great. There is a proper grocery store along with some places for great coffee. Steer clear of the 3rd floor food.  The outside mall is pretty amazing as there are lots of local vendors selling wares Beware of the art show scam though. Don?t go alone and""";;;;;;;;
"2018-01-01,StayhereStaythere,""Wonderful street that has been given a facelift since I was last there. Lots of street stalls selling a variety of clothing food souvenirs etc. Plenty of people around. Beware of people wanting to take you to 'art shows' as they are touts looking for tourists to take down""";;;;;;;;
"2019-01-01,AzulMariana,""The area is really the heart of the city  make sure you walk right from the train station to the palace  both in the day and night.   However at night  it really is something special.  Live Music dancing locals hanging food and shopping.   Great atmosphere and as a""";;;;;;;;
